
 CASO : 208 -> ['X1', 'X4', 'X2', 'X4', 'X1', 'X2']


 CASO : 209 -> ['X1', 'X4', 'X2', 'X4', 'X1', 'X4']


 CASO : 210 -> ['X1', 'X4', 'X2', 'X4', 'X2', 'X1']


 CASO : 211 -> ['X1', 'X4', 'X2', 'X4', 'X2', 'X2']


 CASO : 212 -> ['X1', 'X4', 'X2', 'X4', 'X2', 'X4']


 CASO : 213 -> ['X1', 'X4', 'X2', 'X4', 'X4', 'X1']


 CASO : 214 -> ['X1', 'X4', 'X2', 'X4', 'X4', 'X2']


 CASO : 215 -> ['X1', 'X4', 'X2', 'X4', 'X4', 'X4']


 CASO : 216 -> ['X1', 'X4', 'X4', 'X1', 'X1', 'X1']


 CASO : 217 -> ['X1', 'X4', 'X4', 'X1', 'X1', 'X2']


 CASO : 218 -> ['X1', 'X4', 'X4', 'X1', 'X1', 'X4']


 CASO : 219 -> ['X1', 'X4', 'X4', 'X1', 'X2', 'X1']


 CASO : 220 -> ['X1', 'X4', 'X4', 'X1', 'X2', 'X2']


 CASO : 221 -> ['X1', 'X4', 'X4', 'X1', 'X2', 'X4']


 CASO : 222 -> ['X1', 'X4', 'X4', 'X1', 'X4', 'X1']


 CASO : 223 -> ['X1', 'X4', 'X4', 'X1', 'X4', 'X2']


 CASO : 224 -> ['X1', 'X4', 'X4', 'X1', 'X4', 'X4']


 CASO : 225 -> ['X1', 'X4', 'X4', 'X2', 'X1', 'X1']


 CASO : 226 -> ['X1', 'X4', 'X4', 'X2', 'X1', 'X2']


 CASO : 227 -> ['X1', 'X4', 'X4', 'X2', 'X1', 'X4']


 CASO : 228 -> ['X1', 'X4', 'X4', 'X2', 'X2', 'X1']


 CASO : 229 -> ['X1', 'X4', 'X4', 'X2', 'X2', 'X2']


 CASO : 230 -> ['X1', 'X4', 'X4', 'X2', 'X2', 'X4']


 CASO : 231 -> ['X1', 'X4', 'X4', 'X2', 'X4', 'X1']


 CASO : 232 -> ['X1', 'X4', 'X4', 'X2', 'X4', 'X2']


 CASO : 233 -> ['X1', 'X4', 'X4', 'X2', 'X4', 'X4']


 CASO : 234 -> ['X1', 'X4', 'X4', 'X4', 'X1', 'X1']


 CASO : 235 -> ['X1', 'X4', 'X4', 'X4', 'X1', 'X2']


 CASO : 236 -> ['X1', 'X4', 'X4', 'X4', 'X1', 'X4']


 CASO : 237 -> ['X1', 'X4', 'X4', 'X4', 'X2', 'X1']


 CASO : 238 -> ['X1', 'X4', 'X4', 'X4', 'X2', 'X2']


 CASO : 239 -> ['X1', 'X4', 'X4', 'X4', 'X2', 'X4']


 CASO : 240 -> ['X1', 'X4', 'X4', 'X4', 'X4', 'X1']


 CASO : 241 -> ['X1', 'X4', 'X4', 'X4', 'X4', 'X2']


 CASO : 242 -> ['X1', 'X4', 'X4', 'X4', 'X4', 'X4']


 CASO : 243 -> ['X2', 'X1', 'X1', 'X1', 'X1', 'X1']


 CASO : 244 -> ['X2', 'X1', 'X1', 'X1', 'X1', 'X2']


 CASO : 245 -> ['X2', 'X1', 'X1', 'X1', 'X1', 'X4']


 CASO : 246 -> ['X2', 'X1', 'X1', 'X1', 'X2', 'X1']


 CASO : 247 -> ['X2', 'X1', 'X1', 'X1', 'X2', 'X2']


 CASO : 248 -> ['X2', 'X1', 'X1', 'X1', 'X2', 'X4']


 CASO : 249 -> ['X2', 'X1', 'X1', 'X1', 'X4', 'X1']


 CASO : 250 -> ['X2', 'X1', 'X1', 'X1', 'X4', 'X2']


 CASO : 251 -> ['X2', 'X1', 'X1', 'X1', 'X4', 'X4']


 CASO : 252 -> ['X2', 'X1', 'X1', 'X2', 'X1', 'X1']


 CASO : 253 -> ['X2', 'X1', 'X1', 'X2', 'X1', 'X2']


 CASO : 254 -> ['X2', 'X1', 'X1', 'X2', 'X1', 'X4']


 CASO : 255 -> ['X2', 'X1', 'X1', 'X2', 'X2', 'X1']


 CASO : 256 -> ['X2', 'X1', 'X1', 'X2', 'X2', 'X2']


 CASO : 257 -> ['X2', 'X1', 'X1', 'X2', 'X2', 'X4']


 CASO : 258 -> ['X2', 'X1', 'X1', 'X2', 'X4', 'X1']


 CASO : 259 -> ['X2', 'X1', 'X1', 'X2', 'X4', 'X2']


 CASO : 260 -> ['X2', 'X1', 'X1', 'X2', 'X4', 'X4']


 CASO : 261 -> ['X2', 'X1', 'X1', 'X4', 'X1', 'X1']


 CASO : 262 -> ['X2', 'X1', 'X1', 'X4', 'X1', 'X2']


